mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin-1,origin-2,origin-3,0,0
26.0,-0.8552441147764176,-0.9151820034506009,-0.374229141767738,-0.8330064064024353,-0.02469112869300909,73,0,1,0,26.0,28.055845260620117
24.5,-0.8552441147764176,-0.4068854439701713,-0.4265541719534256,-0.2720987912222261,0.15662011152506874,77,1,0,0,24.5,24.226016998291016
18.1,0.3205319048471203,0.6192981761129601,0.41064631101757587,0.5190761607161744,-0.16974012086747148,78,1,0,0,18.100000381469727,18.88810920715332
12.0,1.496307924470658,1.9811493354756204,1.6402845203812344,2.285639933999528,-1.112558570001476,73,1,0,0,12.0,12.840354919433594
27.0,-0.8552441147764176,-0.5123809563151661,-0.4788792021391132,-0.2130558843611514,0.011571119350606346,82,1,0,0,27.0,26.25699234008789
36.0,-0.8552441147764176,-0.8480484955946951,-0.7928293832532387,-1.1695509755105609,-0.09721562478023997,82,0,1,0,36.0,33.24460983276367
23.0,1.496307924470658,1.5016242793620076,0.5414588864817949,1.097696647954706,0.6642915841356861,79,1,0,0,23.0,16.947933197021484
24.0,-0.8552441147764176,-0.7713244866165171,-0.24341656630351904,-0.8176552506185558,-0.02469112869300909,72,0,0,1,24.0,26.060997009277344
37.2,-0.8552441147764176,-1.030268016917868,-1.028292019088833,-1.1234975081589225,0.3016691036995305,80,0,0,1,37.20000076293945,35.18303680419922
16.0,1.496307924470658,1.9811493354756204,3.2885229712303934,1.5440610238244303,-2.200426011309943,73,1,0,0,16.0,13.945870399475098
21.0,0.3205319048471203,-0.3685234394810823,0.07053361481060652,-0.5885687719975862,-0.5686248493472426,73,1,0,0,21.0,22.774860382080078
19.2,1.496307924470658,1.0700517288597562,1.0647091883386708,0.5367890327744967,-0.8587228336961673,78,1,0,0,19.200000762939453,17.849760055541992
16.0,1.496307924470658,1.1947282434492954,1.1955217638028897,1.8038498140131587,-0.38731360912916474,75,1,0,0,16.0,14.093720436096191
29.0,-0.8552441147764176,-0.9151820034506009,-0.5573667474176446,-0.8873258807146239,0.33793135174314654,74,0,1,0,29.0,29.271766662597656
26.8,0.3205319048471203,-0.19589441928018167,0.2798337355533569,-0.3193331167110858,-0.9675095778270136,79,1,0,0,26.799999237060547,22.998659133911133
27.0,-0.8552441147764176,-0.9247725045728732,-1.1591045945530518,-1.3419562635448987,1.2444875528335357,71,0,1,0,27.0,31.448204040527344
18.0,-0.8552441147764176,-0.694600477638339,0.2013461902748255,-0.04419317073847789,-0.38731360912916474,72,0,1,0,18.0,21.32890510559082
10.0,1.496307924470658,1.5975292905847303,2.8960852448377365,1.9420102160680734,-0.5686248493472426,70,1,0,0,10.0,10.931501388549805
23.0,-0.8552441147764176,-0.7041909787606112,-0.19109153611783145,-0.5484195953320554,-0.38731360912916474,72,0,0,1,23.0,24.650997161865234
36.0,-0.8552441147764176,-0.7041909787606112,-0.4265541719534256,-0.956996510810692,-0.38731360912916474,82,0,0,1,36.0,31.583627700805664
26.0,-0.8552441147764176,-0.7425529832497003,-0.766666868160395,-0.8554427110096436,-0.5686248493472426,74,0,1,0,26.0,29.108768463134766
25.0,-0.8552441147764176,-0.694600477638339,0.2798337355533569,-0.3535780026905091,-0.7499360895653204,75,0,1,0,25.0,23.4006404876709
25.0,-0.8552441147764176,-0.8576389967169673,-0.24341656630351904,-0.703112011308071,0.7005538321793022,70,0,1,0,25.0,25.632797241210938
25.0,-0.8552441147764176,-0.991906012428779,-0.8713169285317701,-0.882602448165738,0.33793135174314654,75,0,1,0,25.0,30.583602905273438
22.0,-0.8552441147764176,-0.5123809563151661,-0.8451544134389264,-0.6641436927797617,1.2444875528335357,71,1,0,0,22.0,26.03118896484375
34.1,-0.8552441147764176,-1.030268016917868,-1.028292019088833,-1.1754552661966682,-0.13347787282385604,79,0,0,1,34.099998474121094,34.69155502319336
32.4,-0.8552441147764176,-0.8288674933501506,-0.8451544134389264,-0.8034849529718979,0.5192425919612244,80,0,0,1,32.400001525878906,32.31928253173828
13.0,1.496307924470658,1.9811493354756204,2.2420223675166415,1.7141045955843253,-1.112558570001476,72,1,0,0,13.0,12.716896057128906
23.5,0.3205319048471203,-0.19589441928018167,0.1490211600891379,-0.28981166328054847,-1.0762963219578605,81,1,0,0,23.5,24.238861083984375
14.0,1.496307924470658,1.9811493354756204,1.8495846411239847,1.763700637347628,-1.4751810504376317,71,1,0,0,14.0,13.279951095581055
18.5,1.496307924470658,1.5975292905847303,1.1955217638028897,1.1449309734435658,-0.9312473297833982,79,1,0,0,18.5,16.495296478271484
29.8,-0.8552441147764176,-0.5699239630487997,-0.374229141767738,-0.30634367720164934,-0.02469112869300909,80,0,0,1,29.799999237060547,26.947492599487305
28.0,-0.8552441147764176,-0.5123809563151661,-0.374229141767738,-0.8341872645396567,-0.02469112869300909,71,1,0,0,28.0,24.82017707824707
19.0,0.3205319048471203,0.30281163907797565,-0.24341656630351904,0.34667087268183633,0.15662011152506874,75,1,0,0,19.0,20.021150588989258
11.0,1.496307924470658,1.5016242793620076,1.9803972165882036,0.8190141275704336,-1.6564922906557096,73,1,0,0,11.0,14.842225074768066
33.0,-0.8552441147764176,-0.9823155113065067,-1.3422422002029586,-1.3880097308965371,0.7005538321793022,75,0,0,1,33.0,35.0230598449707
23.0,-0.8552441147764176,-0.5123809563151661,-0.5573667474176446,-0.39136546308159686,0.5192425919612244,75,1,0,0,23.0,24.805532455444336
21.0,-0.8552441147764176,-0.7041909787606112,-0.4527166870462694,0.010126303573710796,1.4257987930516136,72,0,1,0,21.0,23.458816528320312
23.0,0.3205319048471203,0.043868108776624726,-0.24341656630351904,-0.07843805671790119,0.15662011152506874,73,1,0,0,23.0,21.254589080810547
25.0,-0.8552441147764176,-0.7713244866165171,-0.24341656630351904,-0.8766981574796305,-0.5686248493472426,71,0,0,1,25.0,26.47492218017578
23.8,-0.8552441147764176,-0.4068854439701713,-0.505041717231957,-0.13630010544175436,0.7368160802229183,78,1,0,0,23.799999237060547,23.933860778808594
34.4,-0.8552441147764176,-0.9151820034506009,-1.028292019088833,-1.0927951965911638,0.2291446076122996,81,1,0,0,34.400001525878906,34.111351013183594
24.5,-0.8552441147764176,-0.9151820034506009,-1.1591045945530518,-0.9522730782618061,2.3686172421856186,76,1,0,0,24.5,30.745222091674805
13.0,1.496307924470658,1.0892327311043006,0.6722714619460138,1.3315065591245616,-0.5686248493472426,72,1,0,0,13.0,15.266778945922852
34.7,-0.8552441147764176,-0.8480484955946951,-1.0806170492745206,-0.8920493132635099,-0.24226461695470236,81,1,0,0,34.70000076293945,33.819034576416016
14.0,1.496307924470658,1.0604612277374839,1.1955217638028897,1.519263002942779,-0.02469112869300909,74,1,0,0,14.0,14.110705375671387
15.0,1.496307924470658,2.259273868021516,2.451322488259392,1.6184550864693843,-2.019114771091865,70,1,0,0,15.0,13.533392906188965
18.0,0.3205319048471203,0.6192981761129601,0.1490211600891379,-0.009948284759054586,-0.7499360895653204,71,1,0,0,18.0,19.03775978088379
25.0,0.3205319048471203,-0.11917041030200363,0.1490211600891379,-0.03002287309181997,0.3016691036995305,82,1,0,0,25.0,22.000890731811523
19.9,1.496307924470658,0.6384791783575046,0.1490211600891379,0.4659375445412071,-0.02469112869300909,78,1,0,0,19.899999618530273,19.662097930908203
17.5,0.3205319048471203,0.542574167134782,0.1490211600891379,0.6489705558105385,0.3016691036995305,77,1,0,0,17.5,18.638874053955078
28.0,-0.8552441147764176,-0.7809149877387893,-0.4265541719534256,-0.4315146397471276,1.4620610410952295,82,1,0,0,28.0,26.04381561279297
29.0,-0.8552441147764176,-0.991906012428779,-0.897479443624614,-1.220327875411085,-0.5686248493472426,75,0,1,0,29.0,30.945096969604492
17.0,1.496307924470658,1.0700517288597562,0.6722714619460138,1.0268451597214163,-0.06095337673662453,79,1,0,0,17.0,17.5368595123291
16.0,1.496307924470658,1.0604612277374839,1.1955217638028897,0.5462358978722687,-1.2938698102195538,70,1,0,0,16.0,15.129486083984375
27.0,-0.8552441147764176,-0.9247725045728732,-0.4265541719534256,-0.9924222549273368,-0.38731360912916474,70,0,0,1,27.0,27.868595123291016
37.0,-0.8552441147764176,-0.9823155113065067,-0.9498044738103015,-1.1164123593355937,0.9543895684846109,82,0,0,1,37.0,33.98653793334961
36.1,-0.8552441147764176,-0.9823155113065067,-1.1591045945530518,-1.3821054402104296,0.3016691036995305,78,0,0,1,36.099998474121094,34.43781661987305
23.0,-0.8552441147764176,-0.7521434843719725,-0.24341656630351904,-0.3264182655344147,-0.20600236891108692,75,0,1,0,23.0,25.011688232421875
14.0,1.496307924470658,1.9811493354756204,1.8495846411239847,1.67041284450713,-1.2938698102195538,72,1,0,0,14.0,12.936782836914062
32.8,-0.8552441147764176,-1.106992025896046,-1.3684047152958023,-1.1636466848244533,1.3895365450079975,78,0,0,1,32.79999923706055,34.69227600097656
29.9,-0.8552441147764176,-0.9151820034506009,-1.028292019088833,-0.6972077206219636,1.860945769575,81,1,0,0,29.899999618530273,30.407529830932617
20.0,-0.8552441147764176,-0.9247725045728732,-0.4265541719534256,-0.8164743924813344,1.2444875528335357,73,0,0,1,20.0,28.21664047241211
12.0,1.496307924470658,2.259273868021516,2.451322488259392,2.339959408311717,-1.4751810504376317,73,1,0,0,12.0,11.554326057434082
15.5,1.496307924470658,1.9811493354756204,2.2420223675166415,1.5995613562738404,-1.221345314132323,77,1,0,0,15.5,13.91331672668457
23.7,-1.4431321245881865,-1.1837160348742242,-0.11260399083930006,-0.6499733951331038,-1.112558570001476,80,0,0,1,23.700000762939453,29.42887306213379
24.0,-0.8552441147764176,-0.7425529832497003,-0.766666868160395,-0.9593582270851351,-0.02469112869300909,73,0,1,0,24.0,28.50321388244629
36.0,-0.8552441147764176,-1.0974015247737738,-1.2114296247387395,-1.3525839867798923,1.099438560659074,77,0,1,0,36.0,33.39912796020508
19.0,0.3205319048471203,-0.35893293835881,0.09669612990345032,-0.04773574515014237,-0.02469112869300909,76,0,0,1,19.0,22.727434158325195
38.0,-0.8552441147764176,-0.8480484955946951,-1.0806170492745206,-0.9983265456134442,-0.31478911304193385,82,1,0,0,38.0,31.75980567932129
29.0,-0.8552441147764176,-0.5603334619265274,-0.5312042323248009,-0.5259832907248471,0.15662011152506874,82,1,0,0,29.0,27.602128982543945
21.5,0.3205319048471203,0.3603546458116092,0.2798337355533569,0.32423456807462797,-0.06095337673662453,79,1,0,0,21.5,19.359708786010742
27.9,-0.8552441147764176,-0.35893293835881,0.018208584624918926,-0.20124730298893648,-0.4235758571727802,80,1,0,0,27.899999618530273,23.52710723876953
14.0,1.496307924470658,1.1947282434492954,1.1955217638028897,1.3067085382429102,-0.5686248493472426,72,1,0,0,14.0,14.391240119934082
36.1,-0.8552441147764176,-0.9151820034506009,-1.0021295039959892,-1.3821054402104296,-0.4235758571727802,78,1,0,0,36.099998474121094,31.732084274291992
22.0,-0.8552441147764176,-0.8192769922278783,-0.26957908139636283,-0.698388578759185,0.33793135174314654,73,0,0,1,22.0,27.009441375732422
18.0,0.3205319048471203,0.05345860989889698,-0.19109153611783145,-0.2319496145566953,-0.02469112869300909,70,1,0,0,18.0,19.801347732543945
17.0,1.496307924470658,1.0604612277374839,1.1955217638028897,0.8284609926682055,-1.4751810504376317,72,1,0,0,17.0,15.356260299682617
18.0,0.3205319048471203,0.542574167134782,0.018208584624918926,0.5769382094400275,0.15662011152506874,75,1,0,0,18.0,18.030860900878906
14.0,1.496307924470658,2.3647693803665106,2.8960852448377365,1.5842102004899612,-2.5630484917460987,70,1,0,0,14.0,11.48381233215332
26.0,-0.8552441147764176,-0.9247725045728732,-1.5253798058528651,-1.3407754054076773,1.7884212734877691,70,0,1,0,26.0,32.06654357910156
13.0,1.496307924470658,1.5016242793620076,1.1955217638028897,2.041202299594679,-0.38731360912916474,74,1,0,0,13.0,13.744937896728516
33.0,-0.8552441147764176,-0.8480484955946951,-0.7928293832532387,-0.9215707666940472,-0.4961003532600117,81,0,1,0,33.0,31.07369041442871
37.0,-0.8552441147764176,-1.0398585180401403,-1.028292019088833,-1.1754552661966682,1.3895365450079975,81,0,0,1,37.0,34.29473114013672
32.0,-0.8552441147764176,-1.1741255337519518,-1.028292019088833,-1.3395945472704558,1.969732513705847,74,0,0,1,32.0,33.01462173461914
28.0,-0.8552441147764176,-0.8288674933501506,-0.4788792021391132,-0.5980156370953581,-0.02469112869300909,76,0,1,0,28.0,27.267032623291016
19.2,1.496307924470658,0.7056126862134104,0.5414588864817949,0.7493434974743655,-0.20600236891108692,79,1,0,0,19.200000762939453,17.912370681762695
32.0,-0.8552441147764176,-0.9823155113065067,-0.9759669889031454,-1.1872638475688833,0.04783336739422178,82,0,0,1,32.0,34.29904556274414
27.4,-0.8552441147764176,-0.694600477638339,-0.635854292696176,-0.35475886082773056,-0.20600236891108692,79,1,0,0,27.399999618530273,26.702917098999023
20.0,-0.8552441147764176,-0.5123809563151661,-0.374229141767738,-0.6641436927797617,1.4257987930516136,72,1,0,0,20.0,24.439546585083008
26.0,-0.8552441147764176,-0.9343630056951454,-0.9236419587174577,-0.9227516248312687,0.88186507239738,72,0,1,0,26.0,29.022994995117188
20.6,0.3205319048471203,0.30281163907797565,0.1490211600891379,0.4600332538550997,0.37419359978676264,79,1,0,0,20.600000381469727,19.314088821411133
37.3,-0.8552441147764176,-0.9823155113065067,-0.9236419587174577,-0.9924222549273368,-0.31478911304193385,79,0,1,0,37.29999923706055,31.4418888092041
16.2,0.3205319048471203,-0.29179943050290424,0.7507590072245452,0.5190761607161744,0.08409561543783786,78,0,1,0,16.200000762939453,18.878793716430664
15.0,1.496307924470658,1.5016242793620076,1.0647091883386708,1.7353600420543123,-0.5686248493472426,75,1,0,0,15.0,14.609970092773438
21.0,-0.8552441147764176,-0.5123809563151661,-0.8451544134389264,-0.6724096997403122,1.4257987930516136,73,1,0,0,21.0,26.46930503845215
21.0,0.3205319048471203,0.06304911102116924,-0.505041717231957,-0.4527700862171145,0.15662011152506874,70,1,0,0,21.0,21.644195556640625
20.5,0.3205319048471203,0.06304911102116924,-0.24341656630351904,0.21795733572469358,0.9543895684846109,78,1,0,0,20.5,20.862911224365234
21.0,0.3205319048471203,0.05345860989889698,-0.374229141767738,-0.3807377398466034,-0.20600236891108692,70,1,0,0,21.0,20.93351936340332
25.4,0.3205319048471203,-0.24384692489154297,0.3059962506462007,-0.08316148926678715,-1.0762963219578605,81,0,0,1,25.399999618530273,23.472482681274414
34.1,-0.8552441147764176,-0.9823155113065067,-0.9498044738103015,-1.1636466848244533,0.15662011152506874,81,0,0,1,34.099998474121094,33.8217658996582
27.0,-0.8552441147764176,-0.4068854439701713,-0.374229141767738,-0.024118582405712505,0.6280293360920713,82,1,0,0,27.0,25.00380516052246
36.0,-0.8552441147764176,-0.9151820034506009,-0.897479443624614,-0.9983265456134442,0.6280293360920713,82,1,0,0,36.0,31.25638771057129
31.6,-0.8552441147764176,-0.7041909787606112,-0.7928293832532387,-0.39608889563048283,0.990651816528227,81,0,0,1,31.600000381469727,30.07063865661621
38.1,-0.8552441147764176,-1.0014965135510512,-1.1591045945530518,-1.1837212731572186,1.1719630567463049,80,0,0,1,38.099998474121094,34.4129753112793
32.0,-0.8552441147764176,-1.0590395202846847,-1.132942079460208,-1.1423912383544665,1.2444875528335357,74,0,0,1,32.0,32.46047592163086
40.8,-0.8552441147764176,-1.0398585180401403,-1.028292019088833,-1.0160394176717666,1.3170120489207666,80,0,0,1,40.79999923706055,33.42820358276367
19.0,0.3205319048471203,0.3699451469338814,-0.374229141767738,0.2840853914090972,0.5192425919612244,75,1,0,0,19.0,19.647912979125977
20.0,-0.8552441147764176,-0.7617339854942448,-0.34806662667489424,-0.45867437690322194,-0.5686248493472426,73,0,1,0,20.0,25.251802444458008
22.0,0.3205319048471203,0.542574167134782,0.018208584624918926,0.4517672468945492,-0.38731360912916474,76,1,0,0,22.0,18.644716262817383
17.5,0.3205319048471203,0.6192981761129601,-0.24341656630351904,0.2628299449391103,0.8093405763101492,76,1,0,0,17.5,19.279321670532227
35.1,-0.8552441147764176,-1.0782205225292292,-1.1591045945530518,-1.4293397656992892,0.19288235956868482,81,0,0,1,35.099998474121094,35.689022064208984
30.5,-0.8552441147764176,-0.9151820034506009,-1.0806170492745206,-1.0857100477678348,0.5192425919612244,77,1,0,0,30.5,30.701406478881836
33.7,-0.8552441147764176,-0.8288674933501506,-0.766666868160395,-0.8979536039496174,-0.4235758571727802,81,0,0,1,33.70000076293945,31.923601150512695
19.0,0.3205319048471203,0.542574167134782,-0.4265541719534256,0.39154348189625304,-0.02469112869300909,71,1,0,0,19.0,18.098941802978516
14.0,1.496307924470658,1.0412802254929394,0.9338966128744518,1.9691699532241678,0.15662011152506874,74,1,0,0,14.0,14.242956161499023
15.5,1.496307924470658,1.51121478048428,0.9862216430601394,1.279548801086816,-0.4598381052163956,79,1,0,0,15.5,16.327011108398438
15.0,0.3205319048471203,0.542574167134782,-0.8451544134389264,0.22149991013635806,1.4257987930516136,75,1,0,0,15.0,21.17208480834961
22.5,0.3205319048471203,0.3699451469338814,-0.374229141767738,0.13529726611918907,0.7368160802229183,76,1,0,0,22.5,20.444040298461914
29.0,-0.8552441147764176,-1.0398585180401403,-1.3684047152958023,-1.1046037779633786,2.4048794902292334,76,1,0,0,29.0,31.79649543762207
23.0,-0.8552441147764176,-0.9247725045728732,-1.3160796851101146,-0.8459958459118717,2.876288714796236,72,0,1,0,23.0,30.217409133911133
18.0,-1.4431321245881865,-1.1837160348742242,-0.374229141767738,-0.9995074037506658,-0.7499360895653204,73,0,0,1,18.0,29.486909866333008
25.5,-0.8552441147764176,-0.6850099765160668,-0.21725405121067523,-0.791676371599683,-0.02469112869300909,77,1,0,0,25.5,26.111339569091797
24.0,-0.8552441147764176,-0.7137814798828835,-0.19109153611783145,-0.5023661279804172,0.5192425919612244,75,0,0,1,24.0,26.455467224121094
14.0,1.496307924470658,2.4990363960783224,3.0268978203019556,1.6338062422532638,-2.381737251528021,70,1,0,0,14.0,11.140317916870117
16.5,1.496307924470658,1.51121478048428,0.8815715826887642,1.1626438455018882,-0.8587228336961673,79,1,0,0,16.5,16.713098526000977
20.3,-0.2673561049646486,-0.5986954664156164,-0.03411644556076867,-0.16582155887229166,0.1203578634814533,78,0,1,0,20.299999237060547,23.927419662475586
26.0,-0.8552441147764176,-0.8192769922278783,-0.2957415964892066,-0.6842182811125271,-0.02469112869300909,74,0,0,1,26.0,27.34525489807129
15.0,1.496307924470658,1.8181108163969921,1.7187720656597656,0.6997474557110628,-2.019114771091865,70,1,0,0,15.0,14.110637664794922
33.8,-0.8552441147764176,-0.9247725045728732,-0.9759669889031454,-0.9747093828690144,0.88186507239738,80,0,0,1,33.79999923706055,32.866180419921875
11.0,1.496307924470658,1.9811493354756204,1.1955217638028897,2.393098024486684,-0.5686248493472426,73,1,0,0,11.0,12.79080867767334
28.0,-0.8552441147764176,-0.9247725045728732,-0.3219041115820504,-0.805846669246341,0.5192425919612244,72,0,0,1,28.0,27.473819732666016
19.0,0.3205319048471203,0.30281163907797565,-0.11260399083930006,0.7788649509049028,0.7730783282665331,77,1,0,0,19.0,18.558929443359375
30.0,-0.8552441147764176,-0.9247725045728732,-0.9759669889031454,-1.1636466848244533,0.3016691036995305,77,0,0,1,30.0,32.59955596923828
27.2,-0.8552441147764176,-0.5027904551928939,-0.8713169285317701,0.2592873705274458,3.347697939363239,79,0,1,0,27.200000762939453,26.988544464111328
16.5,0.3205319048471203,-0.24384692489154297,0.41064631101757587,1.0032279969769864,0.4104558478303774,76,0,1,0,16.5,17.651859283447266
29.0,-0.8552441147764176,-0.9247725045728732,-0.766666868160395,-0.9440070713012556,0.15662011152506874,75,0,0,1,29.0,30.971900939941406
20.0,1.496307924470658,0.6576601806020491,0.1490211600891379,0.29589397278131213,-0.7499360895653204,75,1,0,0,20.0,19.78697967529297
15.0,1.496307924470658,1.1947282434492954,1.1955217638028897,0.9524510970764622,-1.112558570001476,73,1,0,0,15.0,16.32975959777832
17.5,1.496307924470658,1.1947282434492954,0.9338966128744518,1.3102511126545746,-0.6774115934780895,78,1,0,0,17.5,16.89219856262207
18.0,0.3205319048471203,0.30281163907797565,-0.24341656630351904,0.9618979621742342,1.2444875528335357,75,1,0,0,18.0,17.889617919921875
24.0,-0.8552441147764176,-0.991906012428779,-0.766666868160395,-1.0184011339462098,-0.02469112869300909,74,0,1,0,24.0,30.081893920898438
20.2,0.3205319048471203,0.3699451469338814,-0.374229141767738,0.34785173081905785,0.9543895684846109,79,1,0,0,20.200000762939453,21.545026779174805
13.0,1.496307924470658,1.51121478048428,1.4048218845456402,1.6444339654882572,-0.9312473297833982,73,1,0,0,13.0,14.44370174407959
12.0,1.496307924470658,1.5016242793620076,1.4571469147313276,1.7542537722498561,-0.7499360895653204,72,1,0,0,12.0,13.695422172546387
20.0,0.3205319048471203,-0.35893293835881,0.46297134120326344,-0.192981296028386,-0.7499360895653204,73,0,0,1,20.0,22.031742095947266
13.0,1.496307924470658,1.5975292905847303,1.8495846411239847,1.004408855114208,-1.6564922906557096,73,1,0,0,13.0,15.906414985656738
26.0,-0.8552441147764176,-0.9247725045728732,-0.6881793228818636,-0.791676371599683,-0.38731360912916474,74,0,1,0,26.0,28.770164489746094
34.5,-0.8552441147764176,-0.8480484955946951,-0.897479443624614,-0.968805092182907,-0.24226461695470236,79,1,0,0,34.5,30.964826583862305
18.0,0.3205319048471203,0.30281163907797565,0.018208584624918926,0.1778081590591628,0.33793135174314654,73,1,0,0,18.0,19.275035858154297
18.5,0.3205319048471203,0.542574167134782,-0.16492902102498766,0.6548748464966461,1.2444875528335357,77,1,0,0,18.5,19.00432586669922
13.0,1.496307924470658,1.5016242793620076,1.3263343392671088,1.8085732465620448,-0.7499360895653204,72,1,0,0,13.0,13.748780250549316
26.0,-0.8552441147764176,-0.694600477638339,0.2275087053676693,-0.8696130086563015,-1.112558570001476,70,0,1,0,26.0,24.383834838867188
18.0,0.3205319048471203,0.3699451469338814,-0.11260399083930006,0.37501146797515217,-0.02469112869300909,71,1,0,0,18.0,18.71906852722168
31.0,-0.8552441147764176,-1.1261730281405906,-1.3684047152958023,-1.560415018930875,0.33793135174314654,74,0,0,1,31.0,35.090965270996094
24.0,-0.8552441147764176,-0.694600477638339,0.1490211600891379,-0.3665674421999455,-0.5686248493472426,73,0,1,0,24.0,23.732807159423828
11.0,1.496307924470658,2.259273868021516,2.71294763918783,1.9632656625380605,-1.6564922906557096,72,1,0,0,11.0,12.523046493530273
19.4,1.496307924470658,1.1947282434492954,0.9338966128744518,0.9028550553131596,-0.8587228336961673,78,1,0,0,19.399999618530273,18.022216796875
32.9,-0.8552441147764176,-0.7137814798828835,-0.11260399083930006,-0.4197060583749127,-0.2785268649983178,81,0,0,1,32.900001525878906,28.25341796875
31.5,-0.8552441147764176,-1.0014965135510512,-0.8713169285317701,-1.1577423941383458,-0.24226461695470236,78,0,1,0,31.5,32.072059631347656
19.1,0.3205319048471203,0.30281163907797565,-0.374229141767738,0.48483127473675103,1.1357008087026887,80,1,0,0,19.100000381469727,21.465106964111328
24.0,0.3205319048471203,0.06304911102116924,-0.6096917776033322,0.04909462210202007,0.7368160802229183,76,1,0,0,24.0,22.968399047851562
20.0,0.3205319048471203,0.043868108776624726,-0.24341656630351904,0.15537185445195445,0.33793135174314654,74,1,0,0,20.0,20.711170196533203
28.0,-0.8552441147764176,-0.991906012428779,-0.766666868160395,-0.9983265456134442,-0.38731360912916474,74,1,0,0,28.0,29.30611228942871
29.0,-0.8552441147764176,-0.9247725045728732,-0.6881793228818636,-1.2167853009994205,-0.38731360912916474,77,0,1,0,29.0,31.232433319091797
14.0,1.496307924470658,1.0604612277374839,1.1955217638028897,0.8284609926682055,-1.4751810504376317,73,1,0,0,14.0,16.9425048828125
35.0,-0.8552441147764176,-0.6850099765160668,-0.4265541719534256,-0.5555047441553844,-0.16974012086747148,80,0,1,0,35.0,28.525146484375
